,n,#colours_used,m_degree_G,#dense_vertices,#b_chromatic_vertices,#dense_non_b_chro,#dense_b_chro,#non_dense_b_chro
0,50,12.6,25.3,29.7,29.1,8.2,21.5,7.6
1,100,20.6,50.5,54.5,56.3,17.0,37.5,18.8
2,150,28.3,75.5,80.9,76.1,33.0,47.9,28.2
3,200,34.6,100.8,108.4,110.8,37.3,71.1,39.7
4,250,42.6,125.5,133.7,117.9,58.7,75.0,42.9
5,300,47.6,150.1,157.1,154.2,63.0,94.1,60.1
6,350,55.1,175.1,183.1,167.0,85.0,98.1,68.9
7,400,61.0,200.4,207.6,188.8,95.1,112.5,76.3
8,450,66.7,224.8,233.2,217.3,102.8,130.4,86.9
9,500,74.8,250.2,261.5,227.5,125.4,136.1,91.4
10,550,78.0,275.2,285.1,267.2,127.5,157.6,109.6
11,600,84.1,300.3,312.7,281.5,146.6,166.1,115.4
12,650,92.2,325.5,335.2,302.6,156.7,178.5,124.1
13,700,97.1,350.3,362.0,298.4,182.4,179.6,118.8
14,750,102.5,375.4,388.2,331.4,192.5,195.7,135.7
15,800,108.2,400.5,410.4,356.5,200.9,209.5,147.0
16,850,111.9,425.6,436.7,403.6,203.7,233.0,170.6
17,900,118.8,450.6,463.0,422.7,214.4,248.6,174.1
18,950,123.7,475.0,493.1,445.2,234.2,258.9,186.3
19,1000,128.7,500.5,515.9,436.6,261.0,254.9,181.7
